Date,Timestamp,Idol_Name,Platform,Username,Follower_Count
2026-06-24,12:00:00,Alice,Facebook,profile.php?id=61556261514878,1434
2026-06-24,12:00:00,Alice,Instagram,alice.miraimirai,1095
2026-06-24,12:00:00,Alice,TikTok,alice.miraimirai,1077
2026-06-24,12:00:00,Alice,X,alicemiraimirai,339
2026-06-24,12:00:00,Ame,Facebook,profile.php?id=61556049656617,1327
2026-06-24,12:00:00,Ame,Instagram,ame.sorasora,8124
2026-06-24,12:00:00,Ame,TikTok,ameaun,15109
2026-06-24,12:00:00,Ame,X,ame_sorasora,807
2026-06-24,12:00:00,Best,Facebook,Best.sorasora,23877
2026-06-24,12:00:00,Best,Instagram,best.sorasora,24301
2026-06-24,12:00:00,Best,X,Best_SoraSora,2669
2026-06-24,12:00:00,Bowie,Facebook,profile.php?id=61589013040511,183
2026-06-24,12:00:00,Bowie,Instagram,bowie.nox0ff,364
2026-06-24,12:00:00,Bowie,TikTok,bowie_nox0ff,4745
2026-06-24,12:00:00,Bowie,X,bowie_nox0ff,196
2026-06-24,12:00:00,Dream:0n,Facebook,dream0n.idol,727
2026-06-24,12:00:00,Dream:0n,Instagram,dream0n_idol,792
2026-06-24,12:00:00,Dream:0n,TikTok,dream0n_idol,688
2026-06-24,12:00:00,Dream:0n,X,dream0n_idol,303
2026-06-24,12:00:00,Eri,Facebook,profile.php?id=100087440792675,12537
2026-06-24,12:00:00,Eri,Instagram,eri.yamiyami,8954
2026-06-24,12:00:00,Eri,TikTok,eri__341,3484
2026-06-24,12:00:00,Eri,X,eri_yamiyami,1723
2026-06-24,12:00:00,Farm,Facebook,farm.dream0n,356
2026-06-24,12:00:00,Farm,Instagram,farm.dream0n,715
2026-06-24,12:00:00,Farm,TikTok,farm.dream0n,1140
2026-06-24,12:00:00,Farm,X,farm_dream0n,318
2026-06-24,12:00:00,Feb,Facebook,profile.php?id=61589229001319,235
2026-06-24,12:00:00,Feb,Instagram,feb.nox0ff,561
2026-06-24,12:00:00,Feb,TikTok,feb.nox0ff,20328
2026-06-24,12:00:00,Feb,X,feb_nox0ff,265
2026-06-24,12:00:00,Gracenae,Facebook,profile.php?id=61556345361269,2189
2026-06-24,12:00:00,Gracenae,Instagram,Gracenae.mirai,5845
2026-06-24,12:00:00,Gracenae,TikTok,gracenae.miraimirai,7755
2026-06-24,12:00:00,Gracenae,X,Gracenae_mirai,1087
2026-06-24,12:00:00,Haru,Facebook,profile.php?id=61569814732431,813
2026-06-24,12:00:00,Haru,Instagram,haru.yamiyami,1026
2026-06-24,12:00:00,Haru,TikTok,haru.yamiyami,1090
2026-06-24,12:00:00,Haru,X,haru_ymym,418
2026-06-24,12:00:00,Jan,Facebook,profile.php?id=61570291414851,424
2026-06-24,12:00:00,Jan,Instagram,jan.yamiyami,1184
2026-06-24,12:00:00,Jan,X,janyamiyami,413
2026-06-24,12:00:00,Jasmine,Facebook,jasmine.dream0n,396
2026-06-24,12:00:00,Jasmine,Instagram,jasmine.dream0n,895
2026-06-24,12:00:00,Jasmine,TikTok,jasmine.dream0n,880
2026-06-24,12:00:00,Jasmine,X,jasmine_dream0n,283
2026-06-24,12:00:00,Jeenin,Facebook,jeenin.dream0n,239
2026-06-24,12:00:00,Jeenin,Instagram,jeenin.dream0n,584
2026-06-24,12:00:00,Jeenin,X,jeenin_dream0n,267
2026-06-24,12:00:00,Jennie,Facebook,profile.php?id=61555963979839,2540
2026-06-24,12:00:00,Jennie,Instagram,jennie.sorasora,3352
2026-06-24,12:00:00,Jennie,TikTok,majelmajai,1443
2026-06-24,12:00:00,Jennie,X,Jennie_sorasora,965
2026-06-24,12:00:00,Jk,Facebook,jk.dream0n,416
2026-06-24,12:00:00,Jk,Instagram,jk.dream0n,803
2026-06-24,12:00:00,Jk,X,jk_dream0n,314
2026-06-24,12:00:00,Kartun,Facebook,profile.php?id=61556026534180,9017
2026-06-24,12:00:00,Kartun,Instagram,Kartun.miraimirai,3220
2026-06-24,12:00:00,Kartun,TikTok,kartun.miraimirai,3477
2026-06-24,12:00:00,Kartun,X,kartun_mirai,503
2026-06-24,12:00:00,Kitty,Facebook,Kitty.sorasora,5386
2026-06-24,12:00:00,Kitty,Instagram,kitty.sorasora,3710
2026-06-24,12:00:00,Kitty,TikTok,kitty.sorasora,1159
2026-06-24,12:00:00,Kitty,X,Kitty_SoraSora,1545
2026-06-24,12:00:00,Kris,Facebook,profile.php?id=61556175298830,1491
2026-06-24,12:00:00,Kris,Instagram,Kris.miraimirai,1744
2026-06-24,12:00:00,Kris,TikTok,kris_miraimirai,12944
2026-06-24,12:00:00,Kris,X,Kris_miraimirai,579
2026-06-24,12:00:00,Kwang,Facebook,profile.php?id=100086943084599,1465
2026-06-24,12:00:00,Kwang,Instagram,kwang.yamiyami,1905
2026-06-24,12:00:00,Kwang,TikTok,kwang_kii,1173
2026-06-24,12:00:00,Kwang,X,kwang_yamiyami,1109
2026-06-24,12:00:00,Lilin,Facebook,profile.php?id=61582032262650,270
2026-06-24,12:00:00,Lilin,Instagram,lilin.sorasora,531
2026-06-24,12:00:00,Lilin,X,Lilin_SoraSora,233
2026-06-24,12:00:00,Mali,Facebook,mali.dream0n,466
2026-06-24,12:00:00,Mali,Instagram,mali.dream0n,772
2026-06-24,12:00:00,Mali,TikTok,mali.dream0n,60938
2026-06-24,12:00:00,Mali,X,mali_dream0n,305
2026-06-24,12:00:00,Mickey,Facebook,profile.php?id=61555901829528,872
2026-06-24,12:00:00,Mickey,Instagram,Mickey.miraimirai,1526
2026-06-24,12:00:00,Mickey,X,mickey_mrmr,546
2026-06-24,12:00:00,Mii,Facebook,profile.php?id=61589166033470,252
2026-06-24,12:00:00,Mii,Instagram,mii.nox0ff,541
2026-06-24,12:00:00,Mii,TikTok,mii_nox0ff,64894
2026-06-24,12:00:00,Mii,X,mii_nox0ff,191
2026-06-24,12:00:00,Minmin,Facebook,Minmin.SoraSora,6060
2026-06-24,12:00:00,Minmin,Instagram,minmin.sorasora,58519
2026-06-24,12:00:00,Minmin,TikTok,minmin.meow,523
2026-06-24,12:00:00,Minmin,X,Minmin_SoraSora,1557
2026-06-24,12:00:00,Mirai Mirai,Facebook,miraimiraiidol,1518
2026-06-24,12:00:00,Mirai Mirai,Instagram,miraimirai_idol,1207
2026-06-24,12:00:00,Mirai Mirai,TikTok,miraimirai_idol,832
2026-06-24,12:00:00,Mirai Mirai,X,miraimirai_idol,576
2026-06-24,12:00:00,Miyu,Facebook,profile.php?id=61589397683980,268
2026-06-24,12:00:00,Miyu,Instagram,miyu.nox0ff,450
2026-06-24,12:00:00,Miyu,TikTok,miyu_nox0ff,1336
2026-06-24,12:00:00,Miyu,X,miyu_nox0ff,152
2026-06-24,12:00:00,Moya,Facebook,moya.dream0n,652
2026-06-24,12:00:00,Moya,Instagram,moya.dream0n,1190
2026-06-24,12:00:00,Moya,X,moya_dream0n,355
2026-06-24,12:00:00,Nisa,Facebook,profile.php?id=61556096882280,633
2026-06-24,12:00:00,Nisa,Instagram,Nisa.miraimirai,1073
2026-06-24,12:00:00,Nisa,TikTok,nisa.miraimirai,2975
2026-06-24,12:00:00,Nisa,X,Nisa_miraimirai,396
